0,1,2,3
FL-518,Florida,hamilton,hamilton
FL-518,Florida,columbia,columbia
FL-519,Florida,pasco,pasco
FL-520,Florida,sumter,sumter
FL-520,Florida,lake,lake
FL-520,Florida,hernando,hernando
FL-520,Florida,citrus,citrus
FL-600,Florida,dade,pasco
FL-600,Florida,miami,miami-dade
FL-601,Florida,broward,broward
FL-601,Florida,lauderdale,broward
FL-602,Florida,charlotte,charlotte
FL-602,Florida,puntagorda,charlotte
FL-603,Florida,lee,lee
FL-603,Florida,capecoral,lee
FL-604,Florida,monroe,monroe
FL-605,Florida,palm,palm
FL-605,Florida,palm,palm
FL-606,Florida,collier,collier
FL-606,Florida,naples,collier
GA-500,Georgia,atlanta,fulton
GA-501,Georgia,georgiabalanceofstate,BAL. OF STATE/STATEWIDE
GA-502,Georgia,fulton,fulton
GA-503,Georgia,clarke,clarke
GA-503,Georgia,athens,clarke
GA-504,Georgia,richmond,richmond
GA-504,Georgia,augusta,richmond
GA-505,Georgia,russell,barrow
GA-505,Georgia,muscogee,muscogee
GA-505,Georgia,columbus,muscogee
GA-506,Georgia,cobb,cobb
GA-506,Georgia,marietta,cobb
GA-507,Georgia,chatham,chatham
GA-507,Georgia,savannah,chatham
GA-508,Georgia,dekalb,dekalb
HI-500,Hawaii,hawaiibalanceofstate,BAL. OF STATE/STATEWIDE
HI-501,Hawaii,honolulu,honolulu
IA-500,Iowa,woodbury,woodbury
IA-500,Iowa,dakota,humboldt
IA-500,Iowa,sioux,sioux
IA-501,Iowa,iowabalanceofstate,BAL. OF STATE/STATEWIDE
IA-502,Iowa,polk,polk
IA-502,Iowa,desmoines,desmoines
ID-500,Idaho,ada,ada
ID-500,Idaho,boise,boise
ID-501,Idaho,idahobalanceofstate,BAL. OF STATE/STATEWIDE
IL-500,Illinois,mchenry,mchenry
IL-501,Illinois,boone,boone
IL-501,Illinois,winnebago,winnebago
IL-501,Illinois,dekalb,dekalb
IL-501,Illinois,rockford,winnebago
IL-502,Illinois,lake,lake
IL-502,Illinois,chicago,dupage
IL-502,Illinois,waukegan,lake
IL-503,Illinois,champaign,champaign
IL-503,Illinois,rantoul,champaign
IL-503,Illinois,urbana,champaign
IL-503,Illinois,champaign,champaign
IL-504,Illinois,madison,madison
IL-506,Illinois,will,will
IL-506,Illinois,bolingbrook,will
IL-506,Illinois,joliet,will
IL-507,Illinois,woodford,woodford
IL-507,Illinois,peoria,peoria
IL-507,Illinois,tazewell,tazewell
IL-507,Illinois,fulton,fulton
IL-507,Illinois,pekin,tazewell
IL-507,Illinois,peoria,peoria
IL-508,Illinois,st.clair,st.clair
IL-508,Illinois,belleville,st.clair
IL-508,Illinois,st.louis,st.clair
IL-510,Illinois,chicago,dupage
IL-511,Illinois,cook,cook
IL-512,Illinois,bloomington,mclean
IL-513,Illinois,sangamon,sangamon
IL-513,Illinois,springfield,sangamon
IL-514,Illinois,dupage,dupage
IL-516,Illinois,macon,macon
IL-516,Illinois,decatur,macon
IL-517,Illinois,kane,kane
IL-517,Illinois,elgin,kane
IL-517,Illinois,aurora,kane
IL-518,Illinois,moline,rockisland
IL-518,Illinois,rockisland,rockisland
IN-502,Indiana,indianabalanceofstate,BAL. OF STATE/STATEWIDE
IN-503,Indiana,indianapolis,marion
KS-502,Kansas,sedgwick,sedgwick
KS-502,Kansas,wichita,wichita
KS-503,Kansas,shawnee,shawnee
KS-503,Kansas,topeka,shawnee
KS-505,Kansas,johnson,johnson
KS-505,Kansas,shawnee,shawnee
KS-505,Kansas,overlandpark,johnson
KS-507,Kansas,kansasbalanceofstate,BAL. OF STATE/STATEWIDE
KY-500,Kentucky,kentuckybalanceofstate,BAL. OF STATE/STATEWIDE
KY-501,Kentucky,jefferson,jefferson
KY-501,Kentucky,louisville,daviess
KY-502,Kentucky,fayette,fayette
KY-502,Kentucky,lexington,fayette
LA-500,Louisiana,lafayette,lafayette
LA-502,Louisiana,bossier,bossier
LA-502,Louisiana,shreveport,caddo
LA-503,Louisiana,jeffersonparish,jeffersonparish
LA-503,Louisiana,neworleans,orleans
LA-505,Louisiana,monroe,ouachita
LA-506,Louisiana,slidell,st.tammany
LA-507,Louisiana,alexandria,rapides
LA-509,Louisiana,louisianabalanceofstate,BAL. OF STATE/STATEWIDE
MA-500,Massachusetts,boston,suffolk
MA-502,Massachusetts,lynn,essex
MA-504,Massachusetts,hampden,hampden
MA-504,Massachusetts,springfield,hampden
MA-505,Massachusetts,newbedford,bristol
MA-506,Massachusetts,worcester,worcester
MA-507,Massachusetts,hampshire,hampshire
MA-507,Massachusetts,franklin,franklin
MA-507,Massachusetts,berkshire,berkshire
MA-507,Massachusetts,pittsfield,berkshire
MA-509,Massachusetts,cambridge,middlesex
MA-510,Massachusetts,essex,essex
MA-510,Massachusetts,salem,essex
MA-510,Massachusetts,haverhill,essex
MA-510,Massachusetts,gloucester,essex
MA-511,Massachusetts,plymouth,plymouth
MA-511,Massachusetts,brockton,plymouth
MA-511,Massachusetts,quincy,norfolk
MA-515,Massachusetts,fallriver,bristol
MA-516,Massachusetts,massachusettsbalanceofstate,BAL. OF STATE/STATEWIDE
MA-519,Massachusetts,bristol,bristol
MA-519,Massachusetts,taunton,bristol
MA-519,Massachusetts,attleboro,bristol
MD-501,Maryland,baltimore,baltimore
MD-502,Maryland,harford,harford
