,0,1,2,3,4
96,AL-507,Alabama,alabamabalanceofstate,winston,935
97,AR-500,Arkansas,littlerock,pulaski,859
98,AR-501,Arkansas,fayetteville,washington,343
99,AR-503,Arkansas,arkansasbalanceofstate,arkansas,814
100,AR-503,Arkansas,arkansasbalanceofstate,ashley,814
101,AR-503,Arkansas,arkansasbalanceofstate,baxter,814
102,AR-503,Arkansas,arkansasbalanceofstate,benton,814
103,AR-503,Arkansas,arkansasbalanceofstate,boone,814
104,AR-503,Arkansas,arkansasbalanceofstate,bradley,814
105,AR-503,Arkansas,arkansasbalanceofstate,calhoun,814
106,AR-503,Arkansas,arkansasbalanceofstate,carroll,814
107,AR-503,Arkansas,arkansasbalanceofstate,chicot,814
108,AR-503,Arkansas,arkansasbalanceofstate,clark,814
109,AR-503,Arkansas,arkansasbalanceofstate,clay,814
110,AR-503,Arkansas,arkansasbalanceofstate,cleburne,814
111,AR-503,Arkansas,arkansasbalanceofstate,cleveland,814
112,AR-503,Arkansas,arkansasbalanceofstate,columbia,814
113,AR-503,Arkansas,arkansasbalanceofstate,conway,814
114,AR-503,Arkansas,arkansasbalanceofstate,craighead,814
115,AR-503,Arkansas,arkansasbalanceofstate,crawford,814
116,AR-503,Arkansas,arkansasbalanceofstate,crittenden,814
117,AR-503,Arkansas,arkansasbalanceofstate,cross,814
118,AR-503,Arkansas,arkansasbalanceofstate,dallas,814
119,AR-503,Arkansas,arkansasbalanceofstate,desha,814
120,AR-503,Arkansas,arkansasbalanceofstate,drew,814
121,AR-503,Arkansas,arkansasbalanceofstate,faulkner,814
122,AR-503,Arkansas,arkansasbalanceofstate,franklin,814
123,AR-503,Arkansas,arkansasbalanceofstate,fulton,814
124,AR-503,Arkansas,arkansasbalanceofstate,garland,814
125,AR-503,Arkansas,arkansasbalanceofstate,grant,814
126,AR-503,Arkansas,arkansasbalanceofstate,greene,814
127,AR-503,Arkansas,arkansasbalanceofstate,hempstead,814
128,AR-503,Arkansas,arkansasbalanceofstate,hotspring,814
129,AR-503,Arkansas,arkansasbalanceofstate,howard,814
130,AR-503,Arkansas,arkansasbalanceofstate,independence,814
131,AR-503,Arkansas,arkansasbalanceofstate,izard,814
132,AR-503,Arkansas,arkansasbalanceofstate,jackson,814
133,AR-503,Arkansas,arkansasbalanceofstate,jefferson,814
134,AR-503,Arkansas,arkansasbalanceofstate,johnson,814
135,AR-503,Arkansas,arkansasbalanceofstate,lafayette,814
136,AR-503,Arkansas,arkansasbalanceofstate,lawrence,814
137,AR-503,Arkansas,arkansasbalanceofstate,lee,814
138,AR-503,Arkansas,arkansasbalanceofstate,lincoln,814
