FL-520,Florida,Citrus,Hernando,Lake,Sumter Counties CoC,,,,
FL-600,Florida,Miami-Dade County CoC,,,,,,,
FL-601,Florida,Ft Lauderdale,Broward County CoC,,,,,,
FL-602,Florida,Punta Gorda,Charlotte County CoC,,,,,,
FL-603,Florida,Ft Myers,Cape Coral,Lee County CoC,,,,,
FL-604,Florida,Monroe County CoC,,,,,,,
FL-605,Florida,West Palm Beach,Palm Beach County CoC,,,,,,
FL-606,Florida,Naples,Collier County CoC,,,,,,
GA-500,Georgia,Atlanta CoC,,,,,,,
GA-501,Georgia,Georgia Balance of State CoC,,,,,,,
GA-502,Georgia,Fulton County CoC,,,,,,,
GA-503,Georgia,Athens-Clarke County CoC,,,,,,,
GA-504,Georgia,Augusta-Richmond County CoC,,,,,,,
GA-505,Georgia,Columbus-Muscogee,Russell County CoC,,,,,,
GA-506,Georgia,Marietta,Cobb County CoC,,,,,,
GA-507,Georgia,Savannah,Chatham County CoC,,,,,,
GA-508,Georgia,DeKalb County CoC,,,,,,,
HI-500,Hawaii,Hawaii Balance of State CoC,,,,,,,
HI-501,Hawaii,Honolulu City and County CoC,,,,,,,
IA-500,Iowa,Sioux City,Dakota,Woodbury Counties CoC,,,,,
IA-501,Iowa,Iowa Balance of State CoC,,,,,,,
IA-502,Iowa,Des Moines,Polk County CoC,,,,,,
ID-500,Idaho,Boise,Ada County CoC,,,,,,
ID-501,Idaho,Idaho Balance of State CoC,,,,,,,
IL-500,Illinois,McHenry County CoC,,,,,,,
IL-501,Illinois,Rockford,DeKalb,Winnebago,Boone Counties CoC,,,,
IL-502,Illinois,Waukegan,North Chicago,Lake County CoC,,,,,
IL-503,Illinois,Champaign,Urbana,Rantoul,Champaign County CoC,,,,
IL-504,Illinois,Madison County CoC,,,,,,,
IL-506,Illinois,Joliet,Bolingbrook,Will County CoC,,,,,
IL-507,Illinois,Peoria,Pekin,Fulton,Tazewell,Peoria,Woodford Counties CoC,,
IL-508,Illinois,East St. Louis,Belleville,St. Clair County CoC,,,,,
IL-510,Illinois,Chicago CoC,,,,,,,
IL-511,Illinois,Cook County CoC,,,,,,,
IL-512,Illinois,Bloomington,Central Illinois CoC,,,,,,
IL-513,Illinois,Springfield,Sangamon County CoC,,,,,,
IL-514,Illinois,DuPage County CoC,,,,,,,
IL-515,Illinois,South Central Illinois CoC,,,,,,,
IL-516,Illinois,Decatur,Macon County CoC,,,,,,
IL-517,Illinois,Aurora,Elgin,Kane County CoC,,,,,
IL-518,Illinois,Rock Island,Moline,Northwestern Illinois CoC,,,,,
IL-519,Illinois,West Central Illinois CoC,,,,,,,
IL-520,Illinois,Southern Illinois CoC,,,,,,,
IN-502,Indiana,Indiana Balance of State CoC,,,,,,,
IN-503,Indiana,Indianapolis CoC,,,,,,,
KS-502,Kansas,Wichita,Sedgwick County CoC,,,,,,
KS-503,Kansas,Topeka,Shawnee County CoC,,,,,,
KS-505,Kansas,Overland Park,Shawnee,Johnson County CoC,,,,,
KS-507,Kansas,Kansas Balance of State CoC,,,,,,,
KY-500,Kentucky,Kentucky Balance of State CoC,,,,,,,
KY-501,Kentucky,Louisville-Jefferson County CoC,,,,,,,
KY-502,Kentucky,Lexington-Fayette County CoC,,,,,,,
LA-500,Louisiana,Lafayette,Acadiana Regional CoC,,,,,,
LA-502,Louisiana,Shreveport,Bossier,Northwest Louisiana CoC,,,,,
LA-503,Louisiana,New Orleans,Jefferson Parish CoC,,,,,,
LA-505,Louisiana,Monroe,Northeast Louisiana CoC,,,,,,
LA-506,Louisiana,Slidell,Southeast Louisiana CoC,,,,,,
LA-507,Louisiana,Alexandria,Central Louisiana CoC,,,,,,
LA-509,Louisiana,Louisiana Balance of State CoC,,,,,,,
MA-500,Massachusetts,Boston CoC,,,,,,,
MA-502,Massachusetts,Lynn CoC,,,,,,,
MA-503,Massachusetts,Cape Cod Islands CoC,,,,,,,
MA-504,Massachusetts,Springfield,Hampden County CoC,,,,,,
MA-505,Massachusetts,New Bedford CoC,,,,,,,
MA-506,Massachusetts,Worcester City & County CoC,,,,,,,
MA-507,Massachusetts,Pittsfield,Berkshire,Franklin,Hampshire Counties CoC,,,,
MA-509,Massachusetts,Cambridge CoC,,,,,,,
MA-510,Massachusetts,Gloucester,Haverhill,Salem,Essex County CoC,,,,
MA-511,Massachusetts,Quincy,Brockton,Weymouth,Plymouth City and County CoC,,,,
MA-515,Massachusetts,Fall River CoC,,,,,,,
MA-516,Massachusetts,Massachusetts Balance of State CoC,,,,,,,
MA-519,Massachusetts,Attleboro,Taunton,Bristol County CoC,,,,,
MD-501,Maryland,Baltimore CoC,,,,,,,
MD-502,Maryland,Harford County CoC,,,,,,,
MD-503,Maryland,Annapolis,Anne Arundel County CoC,,,,,,
MD-504,Maryland,Howard County CoC,,,,,,,
MD-505,Maryland,Baltimore County CoC,,,,,,,
MD-506,Maryland,Carroll County CoC,,,,,,,
MD-509,Maryland,Frederick City & County CoC,,,,,,,
MD-511,Maryland,Mid-Shore Regional CoC,,,,,,,
MD-513,Maryland,Wicomico,Somerset,Worcester Counties CoC,,,,,
MD-514,Maryland,Maryland Balance of Sate,,,,,,,
MD-600,Maryland,Prince George's County CoC,,,,,,,
MD-601,Maryland,Montgomery County CoC,,,,,,,
ME-500,Maine,Maine Statewide CoC,,,,,,,
MI-500,Michigan,Michigan Balance of State CoC,,,,,,,
MI-501,Michigan,Detroit CoC,,,,,,,
MI-502,Michigan,Dearborn,Dearborn Heights,Westland,Wayne County CoC,,,,
MI-503,Michigan,St. Clair Shores,Warren,Macomb County CoC,,,,,
MI-504,Michigan,Pontiac,Royal Oak,Oakland County CoC,,,,,
MI-505,Michigan,Flint,Genesee County CoC,,,,,,
MI-506,Michigan,Grand Rapids,Wyoming,Kent County CoC,,,,,
MI-507,Michigan,Portage,Kalamazoo City & County CoC,,,,,,
MI-508,Michigan,Lansing,East Lansing,Ingham County CoC,,,,,
MI-509,Michigan,Washtenaw County CoC,,,,,,,
MI-510,Michigan,Saginaw City & County CoC,,,,,,,
MI-511,Michigan,Lenawee County CoC,,,,,,,
MI-512,Michigan,Grand Traverse,Antrim,Leelanau Counties CoC,,,,,
MI-514,Michigan,Battle Creek,Calhoun County CoC,,,,,,
MI-515,Michigan,Monroe City & County CoC,,,,,,,
MI-516,Michigan,Norton Shores,Muskegon City & County CoC,,,,,,
MI-517,Michigan,Jackson City & County CoC,,,,,,,
MI-518,Michigan,Livingston County CoC,,,,,,,
MI-519,Michigan,Holland,Ottawa County CoC,,,,,,
MI-523,Michigan,Eaton County CoC,,,,,,,
MN-500,Minnesota,Minneapolis,Hennepin County CoC,,,,,,
MN-501,Minnesota,St. Paul,Ramsey County CoC,,,,,,
MN-502,Minnesota,Rochester,Southeast Minnesota CoC,,,,,,
MN-503,Minnesota,Dakota,Anoka,Washington,Scott,Carver Counties CoC,,,
MN-504,Minnesota,Northeast Minnesota CoC,,,,,,,
MN-505,Minnesota,St. Cloud,Central Minnesota CoC,,,,,,
MN-506,Minnesota,Northwest Minnesota CoC,,,,,,,
MN-508,Minnesota,Moorhead,West Central Minnesota CoC,,,,,,
MN-509,Minnesota,Duluth,St. Louis County CoC,,,,,,
MN-511,Minnesota,Southwest Minnesota CoC,,,,,,,
MO-500,MIssouri,St. Louis County CoC,,,,,,,
MO-501,MIssouri,St. Louis CoC,,,,,,,
MO-503,MIssouri,St. Charles City & County,Lincoln,Warren Counties CoC,,,,,
MO-600,MIssouri,Springfield,Greene,Christian,Webster Counties CoC,,,,
MO-602,MIssouri,Joplin,Jasper,Newton Counties CoC,,,,,
MO-603,MIssouri,St. Joseph,Andrew,Buchanan,DeKalb Counties CoC,,,,
MO-604,MIssouri,Kansas City (MO&KS),Independence,Lee’s Summit,Jackson,Wyandotte Counties,,,
MO-606,MIssouri,Missouri Balance of State CoC,,,,,,,
